measurer,type,time,number
10,S,08:00:29.75,
10,S,08:02:20.75,
10,S,08:17:34.90,
10,S,08:17:35.38,
10,S,08:47:20.41,
10,S,08:47:20.79,
10,S,09:03:29.57,
10,S,09:05:42.16,
10,S,09:05:42.57,
10,S,09:09:24.23,
10,S,09:15:08.50,1
10,S,09:15:09.09,
10,S,09:15:29.22,2
10,S,09:15:30.04,
10,S,09:17:24.73,6
10,S,09:17:25.23,
10,S,09:17:43.61,8
10,S,09:18:03.87,9
10,S,09:18:04.19,
10,S,09:18:21.58,12
10,S,09:18:21.99,
10,S,09:19:37.90,21
10,S,09:19:38.30,
10,S,09:19:57.82,26
10,S,09:19:58.18,
10,S,09:20:15.60,24
10,S,09:20:16.08,
10,S,09:20:40.45,5
10,S,09:21:01.59,11
10,S,09:21:14.48,28
10,S,09:21:14.97,
10,S,09:21:36.55,7
10,S,09:21:36.96,
10,S,09:21:48.55,15
10,S,09:24:10.55,18
10,S,09:24:11.18,
10,S,09:24:34.54,14
10,S,09:25:26.53,25
10,S,09:25:26.02,
10,S,09:25:57.43,17
10,S,09:25:57.75,
10,S,09:26:27.99,29
10,S,09:26:28.57,
10,S,09:27:08.84,16
10,S,09:27:09.53,
10,S,09:27:46.91,22
10,S,09:27:47.42,
10,S,09:28:41.56,27
10,S,09:28:41.99,
10,S,09:29:24.95,35
10,S,09:29:25.61,
10,S,09:29:42.58,19
10,S,09:29:42.91,
10,S,09:30:09.54,33
10,S,09:30:10.12,
10,S,09:30:53.14,32
10,S,09:32:45.82,36
10,S,09:32:46.21,
10,S,09:33:08.20,37
10,S,09:33:08.52,
10,S,09:35:16.17,56
10,S,09:35:16.57,
10,S,09:35:57.94,54
10,S,09:35:58.18,
10,S,09:36:16.83,41
10,S,09:36:17.30,
10,S,09:36:43.03,52
10,S,09:36:57.09,39
10,S,09:36:57.41,
10,S,09:37:12.52,44
10,S,09:37:12.92,
10,S,09:37:48.58,57
10,S,09:37:49.17,
10,S,09:39:39.32,45
10,S,09:39:39.03,
10,S,09:40:02.21,46
10,S,09:40:02.58,
10,S,09:40:27.56,47
10,S,09:40:27.92,
10,S,09:40:55.10,51
10,S,09:41:22.29,58
10,S,09:42:37.82,43
10,S,09:43:44.47,61
10,S,09:43:45.22,
10,S,09:44:21.26,53
10,S,09:45:03.99,38
10,S,09:47:43.96,59
10,S,09:47:44.65,
