measurer,type,time,number
11,S,12:57:25.25,
11,S,13:21:26.45,
11,S,13:21:27.25,
11,S,14:22:48.72,
11,S,14:28:40.26,1
11,T,14:30:24.49,
11,S,14:34:37.76,2
11,S,14:34:38.32,
11,S,14:35:16.20,5
11,S,14:35:16.65,
11,S,14:35:49.97,7
11,S,14:35:50.63,
11,S,14:36:23.39,9
11,S,14:36:23.86,
11,S,14:37:08.13,11
11,S,14:37:39.19,14
11,S,14:38:12.02,15
11,S,14:38:12.35,
11,S,14:38:51.52,16
11,S,14:38:52.16,
11,S,14:39:30.48,17
11,S,14:39:30.79,
11,S,14:40:02.62,24
11,S,14:40:03.03,
11,S,14:40:36.07,21
11,S,14:40:37.78,
11,S,14:41:11.79,19
11,S,14:41:12.24,
11,S,14:41:57.70,26
11,S,14:41:58.47,
11,S,14:42:28.10,6
11,S,14:42:29.34,
11,S,14:43:00.71,29
11,S,14:43:01.09,
11,S,14:43:40.05,18
11,S,14:43:40.58,
11,S,14:44:09.83,28
11,S,14:44:10.14,
11,S,14:44:41.51,33
11,S,14:44:42.05,
11,S,14:45:14.53,25
11,S,14:45:49.65,35
11,S,14:45:50.59,
11,S,14:46:36.46,36
11,S,14:46:36.82,
11,S,14:47:07.56,27
11,S,14:47:42.16,37
11,S,14:47:42.63,
11,S,14:48:14.17,39
11,S,14:48:14.61,
11,S,14:48:47.35,45
11,S,14:49:21.05,46
11,S,14:49:21.37,
11,S,14:49:53.80,22
11,S,14:49:54.80,
11,S,14:50:31.01,38
11,S,14:50:31.72,
11,S,14:51:04.86,52
11,S,14:51:05.90,
11,S,14:51:46.32,53
11,S,14:52:32.62,48
11,S,14:53:28.02,51
11,S,14:54:04.91,54
11,S,14:54:05.47,
11,S,14:54:39.17,56
11,S,14:55:13.51,58
11,S,14:55:13.86,
11,S,14:55:48.26,59
11,S,14:55:49.26,
11,S,14:56:35.99,61
11,S,14:59:00.36,44
11,S,14:59:00.92,
11,S,14:59:41.16,34
11,S,14:59:42.85,
11,S,15:00:15.97,47
11,S,15:00:16.32,
11,S,15:00:48.18,41
11,S,15:01:21.76,43
11,S,15:03:04.79,57
11,S,15:03:06.20,
11,S,15:03:43.34,32
11,S,15:03:43.76,
11,S,15:04:15.42,55
11,S,15:04:15.79,
11,S,15:04:58.26,12
11,S,15:04:58.57,
