measurer,type,time,number
12,S,14:06:23.05,
12,S,14:06:26.19,
12,S,14:09:16.84,
12,S,14:12:01.49,
12,S,14:45:46.60,
12,S,14:45:46.99,
12,S,14:47:18.98,
12,S,14:47:25.38,
12,S,14:57:03.39,
12,S,15:00:17.73,1
12,S,15:00:18.33,
12,S,15:00:56.69,2
12,S,15:00:57.00,
12,S,15:07:42.28,16
12,S,15:07:42.84,
12,S,15:08:03.29,6
12,S,15:08:03.69,
12,S,15:08:35.71,9
12,S,15:08:36.09,
12,S,15:09:00.84,8
12,S,15:09:01.15,
12,S,15:11:01.50,19
12,S,15:11:02.01,
12,S,15:11:55.03,17
12,S,15:12:54.06,22
12,S,15:14:04.01,11
12,S,15:14:04.38,
12,S,15:14:24.12,7
12,S,15:15:01.51,18
12,S,15:15:01.98,
12,S,15:15:32.20,5
12,S,15:15:32.58,
12,S,15:17:15.73,26
12,S,15:17:16.12,
12,S,15:18:08.41,21
12,S,15:18:08.79,
12,S,15:18:30.85,12
12,S,15:18:31.39,
12,S,15:18:50.93,24
12,S,15:18:51.26,
12,S,15:19:17.09,15
12,S,15:22:32.14,25
12,S,15:22:32.63,
12,S,15:23:47.13,14
12,S,15:26:49.39,35
12,S,15:26:49.72,
12,S,15:27:18.79,29
12,S,15:27:19.22,
12,S,15:27:55.65,36
12,S,15:27:55.96,
12,S,15:28:51.50,27
12,S,15:28:51.29,
12,S,15:29:36.21,54
12,S,15:29:36.61,
12,S,15:32:34.30,39
12,S,15:32:34.77,
12,S,15:32:57.34,28
12,S,15:33:32.85,37
12,S,15:33:33.19,
12,S,15:34:01.29,32
12,S,15:34:01.63,
12,S,15:34:24.78,43
12,S,15:34:54.31,58
12,S,15:35:24.72,46
12,S,15:35:25.10,
12,S,15:35:47.49,33
12,S,15:36:09.41,44
12,S,15:36:09.99,
12,S,15:37:23.53,53
12,S,15:37:53.25,52
12,S,15:37:53.64,
12,S,15:38:15.23,41
12,S,15:38:46.87,61
12,S,15:39:35.90,38
12,S,15:39:36.32,
12,S,15:39:46.34,47
12,S,15:40:14.24,51
12,S,15:40:14.59,
12,S,15:40:45.75,45
12,S,15:40:46.25,
12,S,15:42:13.02,56
12,S,15:42:55.98,59
12,S,15:42:56.61,
12,S,15:43:25.94,57
12,S,15:43:26.53,
