measurer,type,time,number
5,T,16:02:23.43,
5,S,16:04:12.10,1
5,S,16:04:12.66,
5,S,16:04:45.35,2
5,S,16:04:45.96,
5,S,16:05:17.92,16
5,S,16:05:18.79,
5,S,16:05:51.36,6
5,S,16:05:51.71,
5,S,16:06:22.08,9
5,S,16:06:22.55,
5,S,16:06:49.86,8
5,S,16:06:50.26,
5,S,16:07:18.39,19
5,S,16:07:19.02,
5,S,16:07:59.38,17
5,S,16:08:25.78,22
5,S,16:08:26.28,
5,S,16:08:58.80,11
5,S,16:08:59.17,
5,S,16:09:28.80,7
5,S,16:09:29.14,
5,S,16:10:10.53,18
5,S,16:10:51.32,5
5,S,16:10:51.77,
5,S,16:11:14.42,26
5,S,16:11:14.92,
5,S,16:11:51.40,21
5,S,16:11:51.87,
5,S,16:12:13.79,12
5,S,16:12:14.41,
5,S,16:12:40.94,24
5,S,16:13:11.35,15
5,S,16:13:49.45,25
5,S,16:13:49.96,
5,S,16:14:19.65,14
5,S,16:14:20.12,
5,S,16:14:48.27,35
5,S,16:14:49.19,
5,S,16:15:18.70,29
5,S,16:15:19.14,
5,S,16:15:53.14,36
5,S,16:15:53.51,
5,S,16:16:21.41,27
5,S,16:16:22.27,
5,S,16:16:57.27,54
5,S,16:16:57.66,
5,S,16:17:30.52,39
5,S,16:17:30.96,
5,S,16:18:03.05,28
5,S,16:18:34.84,37
5,S,16:18:35.22,
5,S,16:19:02.95,32
5,S,16:19:36.65,43
5,S,16:19:36.99,
5,S,16:20:11.98,58
5,S,16:20:42.16,46
5,S,16:21:17.99,33
5,S,16:21:18.56,
5,S,16:21:51.12,44
5,S,16:21:51.54,
5,S,16:22:34.12,53
5,S,16:22:34.56,
5,S,16:23:13.64,52
5,S,16:23:14.59,
5,S,16:23:42.29,41
5,S,16:23:42.71,
5,S,16:24:16.26,61
5,S,16:24:16.88,
5,S,16:24:44.23,47
5,S,16:24:44.58,
5,S,16:25:33.71,38
5,S,16:25:33.08,
5,S,16:26:08.28,51
5,S,16:26:08.76,
5,S,16:26:45.57,45
5,S,16:26:46.31,
5,S,16:27:12.83,56
5,S,16:27:13.19,
5,S,16:27:48.59,59
5,S,16:27:49.19,
5,S,16:28:19.59,57
5,S,16:28:20.03,
