measurer,type,time,number
5,S,14:08:37.53,
5,S,14:12:48.99,
5,S,14:17:51.85,
5,S,14:17:52.86,
5,T,14:20:32.08,
5,S,14:29:41.42,
5,S,14:29:41.91,
5,S,14:44:45.62,
5,S,14:44:45.96,
5,S,14:45:48.64,
5,S,14:45:49.12,
5,S,14:54:49.82,
5,S,14:54:50.78,
5,S,14:57:25.45,
5,S,14:57:26.36,
5,S,14:59:22.67,1
5,S,14:59:23.55,
5,S,15:00:01.69,2
5,S,15:00:02.36,
5,S,15:06:47.30,16
5,S,15:06:48.06,
5,S,15:07:10.64,6
5,S,15:07:11.07,
5,S,15:07:40.30,9
5,S,15:07:40.79,
5,S,15:08:05.84,8
5,S,15:08:06.18,
5,S,15:10:07.27,19
5,S,15:10:07.93,
5,S,15:11:00.18,17
5,S,15:11:00.55,
5,S,15:12:01.52,22
5,S,15:12:02.02,
5,S,15:13:09.18,11
5,S,15:13:09.67,
5,S,15:13:28.74,7
5,S,15:13:29.28,
5,S,15:14:06.38,18
5,S,15:14:06.77,
5,S,15:14:37.19,5
5,S,15:14:37.75,
5,S,15:16:21.01,26
5,S,15:16:22.28,
5,S,15:17:13.67,21
5,S,15:17:14.05,
5,S,15:17:36.24,12
5,S,15:17:37.23,
5,S,15:17:55.18,24
5,S,15:17:55.99,
5,S,15:18:21.31,15
5,S,15:18:21.64,
5,S,15:21:37.37,25
5,S,15:21:38.13,
5,S,15:22:52.01,14
5,S,15:22:52.32,
5,S,15:25:54.05,35
5,S,15:26:23.73,29
5,S,15:26:24.27,
5,S,15:26:58.16,36
5,S,15:27:56.77,27
5,S,15:27:57.50,
5,S,15:28:40.82,54
5,T,15:30:17.45,
5,S,15:31:39.70,39
5,S,15:31:40.43,
5,S,15:32:22.48,28
5,S,15:32:22.86,
5,S,15:32:37.83,37
5,S,15:32:38.24,
5,S,15:33:05.36,32
5,S,15:33:05.88,
5,S,15:33:31.22,43
5,S,15:33:32.10,
5,S,15:34:05.29,58
5,S,15:34:30.41,46
5,S,15:34:30.80,
5,S,15:34:50.87,33
5,S,15:34:51.66,
5,S,15:35:15.91,44
5,S,15:35:16.28,
5,S,15:36:33.69,53
5,S,15:36:34.06,
5,S,15:36:56.00,52
5,S,15:37:16.73,41
5,S,15:37:51.94,61
5,S,15:37:52.58,
5,S,15:38:33.56,38
5,S,15:38:51.94,47
5,S,15:38:52.42,
5,S,15:39:19.65,51
5,S,15:39:20.11,
5,S,15:39:50.85,45
5,S,15:39:51.38,
5,S,15:41:15.37,56
5,S,15:41:15.93,
5,S,15:42:01.04,59
5,S,15:42:01.38,
5,S,15:42:30.17,57
5,S,15:42:30.96,
