measurer,type,time,number
2,T,14:24:39.09,
2,S,14:24:54.90,
2,S,14:35:42.57,
2,S,14:44:25.54,
2,S,14:44:25.93,
2,S,14:45:20.25,
2,S,14:45:20.69,
2,S,14:47:23.42,
2,T,14:57:25.96,
2,T,14:57:51.83,
2,S,14:59:04.77,1
2,S,14:59:05.38,
2,T,14:59:07.71,
2,S,14:59:43.73,2
2,S,14:59:44.23,
2,T,15:03:29.92,
2,S,15:06:29.23,16
2,S,15:06:29.97,
2,S,15:06:53.82,6
2,S,15:06:54.16,
2,S,15:07:22.25,9
2,S,15:07:22.86,
2,S,15:07:48.65,8
2,S,15:07:49.34,
2,S,15:09:50.23,19
2,S,15:09:50.85,
2,S,15:10:42.35,17
2,S,15:10:42.76,
2,S,15:11:43.90,22
2,S,15:11:44.59,
2,S,15:12:51.67,11
2,S,15:12:52.18,
2,S,15:13:11.09,7
2,S,15:13:11.65,
2,S,15:13:48.28,18
2,S,15:13:48.81,
2,S,15:14:19.22,5
2,S,15:14:19.83,
2,S,15:16:04.70,26
2,S,15:16:05.13,
2,S,15:16:55.62,21
2,S,15:16:56.03,
2,S,15:17:17.13,12
2,S,15:17:18.35,
2,S,15:17:37.62,24
2,S,15:17:38.82,
2,S,15:18:03.05,15
2,S,15:18:03.52,
2,S,15:21:19.78,25
2,T,15:21:32.65,
2,S,15:22:30.37,
2,S,15:22:34.30,14
2,S,15:25:37.85,35
2,S,15:25:38.22,
2,S,15:26:05.87,29
2,S,15:26:06.24,
2,S,15:26:39.79,36
2,S,15:26:40.31,
2,S,15:27:38.77,27
2,S,15:27:39.51,
2,S,15:28:22.86,54
2,S,15:28:23.35,
2,S,15:31:21.98,39
2,S,15:31:22.59,
2,S,15:31:56.17,28
2,S,15:31:57.80,
2,S,15:32:19.68,37
2,S,15:32:20.24,
2,S,15:32:47.34,32
2,S,15:32:48.08,
2,S,15:33:14.84,43
2,S,15:33:15.71,
2,S,15:33:47.62,58
2,S,15:33:48.64,
2,S,15:34:12.46,46
2,S,15:34:12.96,
2,S,15:34:32.40,33
2,S,15:34:33.14,
2,S,15:34:56.92,44
2,S,15:34:57.45,
2,S,15:36:16.86,53
2,S,15:36:17.17,
2,S,15:36:38.18,52
2,S,15:36:38.89,
2,S,15:37:01.00,41
2,S,15:37:01.38,
2,S,15:37:34.10,61
2,S,15:37:34.72,
2,S,15:38:04.94,38
2,S,15:38:34.43,47
2,S,15:38:35.04,
2,S,15:39:02.04,51
2,S,15:39:02.60,
2,S,15:39:32.98,45
2,S,15:39:33.52,
2,S,15:40:57.25,56
2,S,15:40:57.75,
2,S,15:41:42.83,59
2,S,15:41:43.90,
2,S,15:42:11.51,57
2,S,15:42:12.23,
