measurer,type,time,number
6,T,08:03:34.88,
6,S,08:03:56.66,
6,S,08:03:57.45,
6,T,08:11:40.10,
6,S,08:11:44.57,
6,S,08:11:45.27,
6,S,08:18:14.37,
6,S,08:18:14.96,
6,S,08:32:56.12,
6,S,08:32:57.01,
6,T,08:54:16.43,
6,T,08:59:28.07,
6,S,08:59:37.90,
6,S,09:04:16.41,
6,S,09:04:16.82,
6,S,09:06:16.96,
6,S,09:06:17.41,
6,S,09:08:41.95,
6,S,09:08:42.90,
6,S,09:08:47.95,
6,S,09:15:50.31,1
6,S,09:15:51.03,
6,S,09:16:11.36,2
6,S,09:16:11.75,
6,S,09:18:04.86,6
6,S,09:18:24.99,8
6,S,09:18:45.66,9
6,S,09:18:46.04,
6,S,09:19:03.80,12
6,S,09:19:04.18,
6,S,09:20:19.86,21
6,S,09:20:20.34,
6,S,09:20:39.38,26
6,S,09:20:39.83,
6,S,09:20:57.90,24
6,S,09:20:58.28,
6,S,09:21:22.54,5
6,S,09:21:22.97,
6,S,09:21:43.29,11
6,S,09:21:44.00,
6,S,09:21:57.32,28
6,S,09:21:57.63,
6,S,09:22:19.08,7
6,S,09:22:32.11,15
6,S,09:24:52.56,18
6,S,09:24:52.88,
6,S,09:25:16.64,14
6,S,09:25:16.99,
6,S,09:26:10.46,25
6,S,09:26:10.85,
6,S,09:26:39.45,17
6,S,09:27:09.96,29
6,S,09:27:10.35,
6,S,09:27:50.56,16
6,S,09:27:51.29,
6,S,09:28:28.55,22
6,S,09:28:28.97,
6,S,09:29:22.93,27
6,S,09:29:23.44,
6,S,09:30:07.12,35
6,S,09:30:24.11,19
6,S,09:30:24.45,
6,S,09:30:51.14,33
6,S,09:31:35.82,32
6,S,09:31:36.17,
6,S,09:33:28.60,36
6,S,09:33:28.96,
6,S,09:33:50.50,37
6,S,09:33:50.92,
6,S,09:35:58.53,56
6,S,09:36:39.43,54
6,S,09:36:39.82,
6,S,09:36:59.21,41
6,S,09:36:59.74,
6,S,09:37:31.02,52
6,S,09:37:31.34,
6,S,09:37:38.46,39
6,S,09:37:38.75,
6,S,09:37:53.08,44
6,S,09:38:30.70,57
6,S,09:38:31.16,
6,S,09:40:30.62,45
6,S,09:40:30.28,
6,S,09:40:44.29,46
6,S,09:40:44.61,
6,S,09:41:09.16,47
6,S,09:41:09.51,
6,S,09:41:36.87,51
6,S,09:41:37.17,
6,S,09:42:05.35,58
6,S,09:43:19.87,43
6,S,09:44:26.33,61
6,S,09:44:26.88,
6,S,09:45:02.59,53
6,S,09:45:46.01,38
6,S,09:45:46.53,
6,S,09:48:25.87,59
6,S,09:48:26.45,
