measurer,type,time,number,,00:00:00.00,00:00:01.00
5,S,07:41:10.00,,,,07:41:10.00
5,S,07:41:14.99,,,,07:41:14.99
5,S,07:43:05.13,,,,07:43:05.13
5,S,07:47:09.14,,,,07:47:09.14
5,S,07:47:10.26,,,,07:47:10.26
5,S,08:02:15.24,,,,08:02:15.24
5,S,08:14:25.96,,,,08:14:25.96
5,S,08:14:27.01,,,,08:14:27.01
5,S,08:17:26.39,,,,08:17:26.39
5,S,08:17:26.76,,,,08:17:26.76
5,S,09:03:20.48,,,,09:03:20.48
5,S,09:03:20.87,,,,09:03:20.87
5,S,09:05:33.03,,,,09:05:33.03
5,S,09:05:33.52,,,,09:05:33.52
5,S,09:10:21.30,,,,09:10:21.30
5,S,09:14:57.45,1,,,09:14:57.45
5,S,09:14:58.13,,,,09:14:58.13
5,S,09:15:18.31,2,,,09:15:18.31
5,S,09:15:19.02,,,,09:15:19.02
5,S,09:17:14.16,6,,,09:17:14.16
5,S,09:17:14.47,,,,09:17:14.47
5,S,09:17:32.94,8,,,09:17:32.94
5,S,09:17:52.93,9,,,09:17:52.93
5,S,09:17:53.28,,,,09:17:53.28
5,S,09:18:11.23,12,,,09:18:11.23
5,S,09:18:11.93,,,,09:18:11.93
5,S,09:19:26.76,21,,,09:19:26.76
5,S,09:19:27.36,,,,09:19:27.36
5,S,09:19:47.08,26,,,09:19:47.08
5,S,09:19:47.55,,,,09:19:47.55
5,S,09:20:04.66,24,,,09:20:04.66
5,S,09:20:05.03,,,,09:20:05.03
5,S,09:20:29.37,5,,,09:20:29.37
5,S,09:20:29.75,,,,09:20:29.75
5,S,09:20:50.52,11,,,09:20:50.52
5,S,09:20:50.86,,,,09:20:50.86
5,S,09:21:04.15,28,,,09:21:04.15
5,S,09:21:04.60,,,,09:21:04.60
5,S,09:21:25.28,7,,,09:21:25.28
5,S,09:21:25.64,,,,09:21:25.64
5,S,09:21:36.58,15,,,09:21:36.58
5,S,09:21:36.90,,,,09:21:36.90
5,S,09:23:59.49,18,,,09:23:59.49
5,S,09:23:59.81,,,,09:23:59.81
5,S,09:24:23.43,14,,,09:24:23.43
5,S,09:24:23.97,,,,09:24:23.97
5,S,09:25:16.41,25,,,09:25:16.41
5,S,09:25:16.43,,,,09:25:16.43
5,S,09:25:46.51,17,,,09:25:46.51
5,S,09:26:16.98,29,,,09:26:16.98
5,S,09:26:17.49,,,,09:26:17.49
5,S,09:26:58.07,16,,,09:26:58.07
5,S,09:26:58.42,,,,09:26:58.42
5,S,09:27:35.76,22,,,09:27:35.76
5,S,09:27:36.31,,,,09:27:36.31
5,S,09:28:30.70,27,,,09:28:29.70
5,S,09:28:30.19,,NG,NG,09:28:30.19
5,S,09:29:13.70,35,,,09:29:13.70
5,S,09:29:14.70,,,,09:29:14.70
5,S,09:29:31.99,19,,,09:29:31.99
5,S,09:29:32.38,,,,09:29:32.38
5,S,09:29:58.45,33,,,09:29:58.45
5,S,09:29:58.98,,,,09:29:58.98
5,S,09:30:41.42,32,,,09:30:41.42
5,S,09:30:42.06,,,,09:30:42.06
5,S,09:32:34.45,36,,,09:32:34.45
5,S,09:32:34.87,,,,09:32:34.87
5,S,09:32:57.23,37,,,09:32:57.23
5,S,09:32:57.79,,,,09:32:57.79
5,S,09:35:04.96,56,,,09:35:04.96
5,S,09:35:05.51,,,,09:35:05.51
5,S,09:35:46.87,54,,,09:35:46.87
5,S,09:35:47.34,,,,09:35:47.34
5,S,09:36:05.46,41,,,09:36:05.46
5,S,09:36:06.05,,,,09:36:06.05
5,S,09:36:30.71,52,,,09:36:30.71
5,S,09:36:31.03,,,,09:36:31.03
5,S,09:36:46.40,39,,,09:36:46.40
5,S,09:36:46.93,,,,09:36:46.93
5,S,09:37:01.39,44,,,09:37:00.39
5,S,09:37:01.28,,NG,NG,09:37:01.28
5,S,09:37:37.51,57,,,09:37:37.51
5,S,09:37:38.02,,,,09:37:38.02
5,S,09:39:29.33,45,,,09:39:29.33
5,S,09:39:29.88,,,,09:39:29.88
5,S,09:39:51.30,46,,,09:39:51.30
5,S,09:40:16.74,47,,,09:40:16.74
5,S,09:40:17.20,,,,09:40:17.20
5,S,09:40:44.19,51,,,09:40:44.19
5,S,09:40:44.64,,,,09:40:44.64
5,S,09:41:10.77,58,,,09:41:10.77
5,S,09:41:11.32,,,,09:41:11.32
5,S,09:42:25.75,43,,,09:42:25.75
5,S,09:42:26.06,,,,09:42:26.06
5,S,09:43:33.56,61,,,09:43:33.56
