measurer,type,time,number
7,T,10:54:04.90,
7,S,10:54:27.80,
7,S,11:24:17.99,
7,S,11:24:18.51,
7,S,11:24:29.06,
7,S,11:26:52.22,
7,S,11:27:02.80,
7,S,11:27:13.75,
7,S,11:27:15.99,
7,S,11:41:09.87,
7,S,11:41:10.26,
7,S,11:49:00.51,
7,S,11:49:00.96,
7,S,12:00:18.93,1
7,S,12:00:19.64,
7,S,12:00:40.99,2
7,S,12:00:41.59,
7,S,12:01:36.08,6
7,S,12:01:36.47,
7,S,12:01:58.91,7
7,S,12:01:59.40,
7,S,12:02:36.44,9
7,S,12:02:36.98,
7,S,12:03:19.39,11
7,S,12:03:19.91,
7,S,12:04:18.66,14
7,S,12:04:18.97,
7,S,12:04:38.28,15
7,S,12:04:38.67,
7,S,12:05:03.62,16
7,S,12:05:04.18,
7,S,12:05:20.07,17
7,S,12:05:37.63,18
7,S,12:05:37.99,
7,S,12:05:54.97,19
7,S,12:05:55.45,
7,S,12:06:40.60,21
7,S,12:06:41.29,
7,S,12:06:52.19,12
7,S,12:06:52.87,
7,S,12:06:59.86,22
7,S,12:07:00.20,
7,S,12:07:34.82,24
7,S,12:07:35.19,
7,S,12:07:58.31,25
7,S,12:07:58.80,
7,S,12:08:16.60,26
7,S,12:08:17.12,
7,S,12:08:37.63,27
7,S,12:08:38.70,
7,S,12:09:00.71,28
7,S,12:09:01.02,
7,S,12:09:16.48,29
7,S,12:09:17.05,
7,S,12:10:18.01,32
7,S,12:10:18.46,
7,S,12:10:34.23,33
7,S,12:10:35.00,
7,S,12:11:18.61,35
7,S,12:11:18.93,
7,S,12:11:38.83,36
7,S,12:11:39.15,
7,S,12:11:58.65,37
7,S,12:11:59.11,
7,S,12:12:17.87,38
7,S,12:12:18.38,
7,S,12:12:38.43,39
7,S,12:12:38.82,
7,S,12:13:18.38,41
7,S,12:13:38.78,43
7,S,12:13:39.15,
7,S,12:13:58.05,44
7,S,12:13:58.43,
7,S,12:14:19.05,45
7,S,12:14:19.67,
7,S,12:14:37.49,46
7,S,12:14:37.89,
7,S,12:14:58.47,47
7,S,12:14:58.99,
7,S,12:16:20.10,51
7,S,12:16:20.43,
7,S,12:16:57.54,52
7,S,12:17:00.13,53
7,S,12:17:20.10,54
7,S,12:17:20.55,
7,S,12:17:38.41,55
7,S,12:17:38.76,
7,S,12:17:57.99,56
7,S,12:17:58.65,
7,S,12:18:21.18,57
7,S,12:18:21.95,
7,S,12:18:42.13,58
7,S,12:18:43.01,
7,S,12:19:01.12,59
7,S,12:19:01.79,
7,S,12:19:39.75,61
7,S,12:19:40.33,
7,S,12:19:58.80,
7,S,12:19:59.41,
7,S,12:20:26.97,
7,S,12:20:27.99,
