measurer,type,time,number
1,S,10:40:00.00,1
1,S,10:40:20.00,2
1,S,10:40:40.00,3
1,S,10:41:00.00,5
1,S,10:41:20.00,6
1,S,10:41:40.00,7
1,S,10:42:00.00,8
1,S,10:42:20.00,9
1,S,10:42:40.00,10
1,S,10:43:00.00,11
1,S,10:43:20.00,12
1,S,10:43:40.00,13
1,S,10:44:00.00,14
1,S,10:44:20.00,15
1,S,10:44:40.00,16
1,S,10:45:00.00,17
1,S,10:45:20.00,18
1,S,10:45:40.00,19
1,S,10:46:00.00,20
1,S,10:46:20.00,21
1,S,10:46:40.00,22
1,S,10:47:00.00,23
1,S,10:47:20.00,24
1,S,10:47:40.00,25
1,S,10:48:00.00,26
1,S,10:48:20.00,27
1,S,10:48:40.00,28
1,S,10:49:00.00,29
1,S,10:49:20.00,30
1,S,10:49:40.00,31
1,S,10:50:00.00,32
1,S,10:50:20.00,33
1,S,10:50:40.00,34
1,S,10:51:00.00,35
1,S,10:51:20.00,36
1,S,10:51:40.00,37
1,S,10:52:00.00,38
1,S,10:52:20.00,39
1,S,10:52:40.00,40
1,S,10:53:00.00,41
1,S,10:53:20.00,43
1,S,10:53:40.00,44
1,S,10:54:00.00,45
1,S,10:54:20.00,46
1,S,10:54:40.00,47
1,S,10:55:00.00,48
1,S,10:55:20.00,49
1,S,10:55:40.00,50
1,S,10:56:00.00,51
1,S,10:56:20.00,52
1,S,10:56:40.00,53
1,S,10:57:00.00,54
1,S,10:57:20.00,55
1,S,10:57:40.00,56
1,S,10:58:00.00,57
1,S,10:58:20.00,58
1,S,10:58:40.00,59
1,S,10:59:00.00,60
1,S,10:59:20.00,61
1,S,10:59:40.00,62
