measurer,type,time,number
6,S,14:23:00.63,
6,S,14:23:01.18,
6,S,14:28:52.35,1
6,S,14:28:53.01,
6,S,14:34:49.72,2
6,S,14:34:50.19,
6,S,14:35:28.18,5
6,S,14:35:28.58,
6,S,14:36:02.73,7
6,S,14:36:35.44,9
6,S,14:37:20.15,11
6,S,14:37:20.54,
6,S,14:37:51.19,14
6,S,14:37:51.50,
6,S,14:38:24.13,15
6,S,14:39:03.65,16
6,S,14:39:04.07,
6,S,14:39:42.16,17
6,S,14:40:14.39,24
6,S,14:40:49.01,21
6,S,14:41:23.33,19
6,S,14:41:23.76,
6,S,14:42:09.20,26
6,S,14:42:40.36,6
6,S,14:43:12.69,29
6,S,14:43:13.13,
6,S,14:43:52.07,18
6,S,14:43:52.54,
6,S,14:44:21.14,28
6,S,14:44:53.21,33
6,S,14:44:53.58,
6,S,14:45:26.45,25
6,S,14:45:26.75,
6,S,14:46:02.07,35
6,S,14:46:02.41,
6,S,14:46:48.67,36
6,S,14:46:48.99,
6,S,14:47:21.08,27
6,S,14:47:21.39,
6,S,14:47:54.03,37
6,S,14:48:25.96,39
6,S,14:48:26.28,
6,S,14:48:59.52,45
6,S,14:48:59.90,
6,S,14:49:32.87,46
6,S,14:50:06.10,22
6,S,14:50:42.95,38
6,S,14:51:19.31,52
6,S,14:51:19.62,
6,S,14:52:00.64,53
6,S,14:52:44.62,48
6,S,14:52:44.99,
6,S,14:53:39.80,51
6,S,14:54:16.86,54
6,S,14:54:51.07,56
6,S,14:55:25.65,58
6,S,14:55:26.22,
6,S,14:56:00.31,59
6,S,14:56:00.69,
6,S,14:56:47.25,61
6,S,14:59:12.36,44
6,S,14:59:54.06,34
6,S,15:00:27.97,47
6,S,15:00:59.14,41
6,S,15:00:59.55,
6,S,15:01:33.38,43
6,S,15:02:07.14,
6,S,15:03:17.84,57
6,S,15:03:55.95,32
6,S,15:04:27.20,55
6,S,15:05:10.99,12
