measurer,type,time,number
13,S,16:02:49.94,1
13,S,16:02:50.42,
13,S,16:03:22.99,2
13,S,16:03:23.39,
13,S,16:03:56.14,16
13,S,16:03:56.50,
13,S,16:04:29.84,6
13,S,16:05:00.31,9
13,S,16:05:30.28,8
13,S,16:05:57.92,19
13,S,16:06:37.40,17
13,S,16:06:37.71,
13,S,16:07:05.64,22
13,S,16:07:37.38,11
13,S,16:07:37.70,
13,S,16:08:07.08,7
13,S,16:08:48.28,18
13,S,16:08:48.59,
13,S,16:09:29.09,5
13,S,16:09:53.68,26
13,S,16:09:53.03,
13,S,16:10:30.14,21
13,S,16:10:30.48,
13,S,16:10:55.73,12
13,S,16:10:56.06,
13,S,16:11:19.32,24
13,S,16:11:19.67,
13,S,16:11:52.37,15
13,S,16:12:26.79,25
13,S,16:12:57.63,14
13,S,16:13:27.17,35
13,S,16:13:56.61,29
13,S,16:13:56.95,
13,S,16:14:30.56,36
13,S,16:14:59.14,27
13,S,16:14:59.47,
13,S,16:15:35.23,54
13,S,16:16:09.97,39
13,S,16:16:10.26,
13,S,16:16:42.44,28
13,S,16:16:42.76,
13,S,16:17:13.41,37
13,S,16:17:41.21,32
13,S,16:18:16.88,43
13,S,16:18:48.10,58
13,S,16:19:20.89,46
13,S,16:19:21.18,
13,S,16:19:56.47,33
13,S,16:19:57.01,
13,S,16:20:32.15,44
13,S,16:21:18.55,53
13,S,16:21:49.61,52
13,S,16:22:21.50,41
13,S,16:22:54.41,61
13,S,16:22:54.77,
13,S,16:23:23.58,47
13,S,16:23:23.93,
13,S,16:24:12.09,38
13,S,16:24:12.43,
13,S,16:24:47.29,51
13,S,16:25:25.15,45
13,S,16:25:25.63,
13,S,16:25:51.34,56
13,S,16:26:26.48,59
13,S,16:26:26.93,
13,S,16:26:58.77,57
