measurer,type,time,number
5,S,10:51:53.88,
5,S,11:18:02.37,
5,S,11:18:02.79,
5,S,11:18:15.04,
5,S,11:18:17.97,
5,S,11:26:06.07,
5,S,11:41:03.12,
5,S,11:41:03.67,
5,S,11:48:54.16,
5,S,11:48:54.66,
5,S,11:50:39.58,
5,S,11:50:40.41,
5,S,11:50:41.20,
5,S,11:50:41.98,
5,S,11:53:36.72,
5,S,11:53:37.83,
5,S,12:00:11.93,1
5,S,12:00:12.63,
5,S,12:00:34.07,2
5,S,12:00:34.73,
5,S,12:01:29.37,6
5,S,12:01:29.77,
5,S,12:01:52.02,7
5,S,12:02:29.39,9
5,S,12:02:29.01,
5,S,12:03:12.60,11
5,S,12:03:12.99,
5,S,12:04:11.66,14
5,S,12:04:12.05,
5,S,12:04:31.25,15
5,S,12:04:31.58,
5,S,12:04:56.66,16
5,S,12:04:57.10,
5,S,12:05:13.09,17
5,S,12:05:13.55,
5,S,12:05:30.54,18
5,S,12:05:31.02,
5,S,12:05:48.03,19
5,S,12:05:48.51,
5,S,12:06:33.69,21
5,S,12:06:33.10,
5,S,12:06:45.22,12
5,S,12:06:45.63,
5,S,12:06:53.29,22
5,S,12:06:53.63,
5,S,12:07:28.42,24
5,S,12:07:28.75,
5,S,12:07:51.14,25
5,S,12:07:51.63,
5,S,12:08:09.85,26
5,S,12:08:10.27,
5,S,12:08:30.55,27
5,S,12:08:30.09,
5,S,12:08:53.39,28
5,S,12:08:53.81,
5,S,12:09:09.52,29
5,S,12:09:10.14,
5,S,12:10:10.92,32
5,S,12:10:11.29,
5,S,12:10:27.44,33
5,S,12:10:27.99,
5,S,12:11:11.81,35
5,S,12:11:12.16,
5,S,12:11:31.61,36
5,S,12:11:31.95,
5,S,12:11:51.66,37
5,S,12:11:52.11,
5,S,12:12:10.99,38
5,S,12:12:11.35,
5,S,12:12:31.44,39
5,S,12:12:31.86,
5,S,12:13:11.44,41
5,S,12:13:11.78,
5,S,12:13:31.86,43
5,S,12:13:32.28,
5,S,12:13:50.82,44
5,S,12:13:50.46,
5,S,12:14:11.82,45
5,S,12:14:12.38,
5,S,12:14:30.79,46
5,S,12:14:31.20,
5,S,12:14:51.60,47
5,S,12:14:52.06,
5,S,12:16:13.47,51
5,S,12:16:13.94,
5,S,12:16:50.02,52
5,S,12:16:50.50,
5,S,12:16:53.68,53
5,S,12:16:54.14,
5,S,12:17:12.88,54
5,S,12:17:13.21,
5,S,12:17:31.45,55
5,S,12:17:51.58,56
5,S,12:17:51.99,
5,S,12:18:14.26,57
5,S,12:18:15.01,
5,S,12:18:35.42,58
5,S,12:18:36.02,
5,S,12:18:54.13,59
5,S,12:18:54.62,
5,S,12:19:32.82,61
5,S,12:19:33.45,
5,S,12:19:49.70,23
5,S,12:19:50.38,
5,S,12:20:14.69,34
5,S,12:20:15.97,
