measurer,type,time,number
7,T,16:24:45.03,
7,T,16:24:47.01,
7,T,16:25:00.30,
7,T,16:25:36.42,
7,T,16:25:37.99,
7,T,16:25:39.23,
7,S,16:38:15.34,
7,S,16:38:18.42,
7,T,16:45:10.73,
7,S,16:45:16.19,
7,S,16:45:16.51,
7,S,16:45:18.22,
7,S,16:50:32.21,
7,S,16:50:32.94,
7,S,16:58:36.80,1
7,S,16:58:37.48,
7,S,17:07:01.44,14
7,S,17:07:01.97,
7,S,17:07:25.88,15
7,S,17:10:20.35,5
7,S,17:10:20.98,
7,S,17:10:45.13,9
7,S,17:10:46.69,
7,S,17:11:11.95,29
7,S,17:11:12.53,
7,S,17:12:11.06,16
7,S,17:12:11.71,
7,S,17:12:44.47,11
7,S,17:13:47.00,2
7,S,17:15:05.24,22
7,S,17:15:05.65,
7,S,17:16:06.68,35
7,S,17:16:07.22,
7,S,17:16:49.82,25
7,S,17:16:50.28,
7,S,17:17:51.10,17
7,S,17:17:51.53,
7,S,17:18:24.07,18
7,S,17:18:24.64,
7,S,17:18:35.67,24
7,S,17:18:36.34,
7,S,17:20:43.11,37
7,S,17:20:43.56,
7,S,17:21:33.90,7
7,S,17:21:34.29,
7,S,17:22:17.26,39
7,S,17:22:17.80,
7,S,17:22:46.27,27
7,S,17:22:46.94,
7,S,17:23:53.20,45
7,S,17:23:53.81,
7,S,17:24:30.19,46
7,S,17:24:30.62,
7,S,17:25:03.22,56
7,S,17:25:03.91,
7,S,17:25:38.05,36
7,S,17:25:38.51,
7,S,17:26:20.58,33
7,S,17:26:21.13,
7,S,17:27:39.36,52
7,S,17:27:39.80,
7,S,17:28:06.67,54
7,S,17:28:07.51,
7,S,17:28:45.61,21
7,S,17:28:46.29,
7,S,17:29:03.76,28
7,S,17:29:04.18,
7,S,17:29:34.83,48
7,S,17:29:36.22,
7,S,17:31:00.82,26
7,S,17:32:35.12,19
7,S,17:32:35.87,
7,S,17:34:48.53,38
7,S,17:34:49.01,
7,S,17:36:57.05,41
7,S,17:36:57.60,
7,S,17:37:38.16,43
7,S,17:37:38.50,
7,S,17:38:27.83,47
7,S,17:38:28.35,
7,S,17:39:01.42,6
7,S,17:39:01.79,
7,S,17:39:39.81,55
7,S,17:40:56.64,59
7,S,17:40:57.06,
7,S,17:42:23.93,32
7,S,17:42:24.34,
7,S,17:42:32.88,61
7,S,17:42:33.36,
7,S,17:43:25.78,53
7,S,17:43:26.25,
7,S,17:44:00.84,51
7,S,17:44:01.17,
7,S,17:44:32.60,44
7,S,17:44:33.07,
7,S,17:45:54.08,12
7,T,17:46:26.87,
7,S,17:48:10.54,57
7,S,17:48:11.14,
7,S,17:55:06.67,58
7,S,17:55:07.55,
