measurer,type,time,number
9,S,09:31:10.98,
9,S,09:31:13.45,
9,S,09:31:13.84,
9,S,09:31:14.94,
9,S,09:52:35.57,
9,S,09:52:36.36,
9,S,09:52:37.15,
9,S,10:19:27.70,
9,S,10:19:27.89,
9,S,10:32:17.04,
9,S,10:32:17.99,
9,S,10:32:18.08,
9,S,10:35:06.67,1
9,S,10:35:07.33,
9,S,10:35:29.84,2
9,S,10:35:30.37,
9,S,10:36:06.71,5
9,S,10:36:07.28,
9,S,10:36:23.61,6
9,S,10:36:24.16,
9,S,10:36:44.86,7
9,S,10:36:45.42,
9,S,10:37:07.07,8
9,S,10:37:08.00,
9,S,10:37:23.83,9
9,S,10:37:24.36,
9,S,10:38:06.21,11
9,S,10:38:06.78,
9,S,10:38:26.54,12
9,S,10:38:27.56,
9,S,10:39:05.96,14
9,S,10:39:06.38,
9,S,10:39:26.25,15
9,S,10:39:26.57,
9,S,10:39:49.13,16
9,S,10:39:49.91,
9,S,10:40:04.74,17
9,S,10:40:05.28,
9,S,10:40:23.56,18
9,S,10:40:23.90,
9,S,10:40:40.40,19
9,S,10:40:41.01,
9,S,10:41:28.16,21
9,S,10:41:28.87,
9,S,10:41:44.20,22
9,S,10:41:44.69,
9,S,10:42:15.71,24
9,S,10:42:16.63,
9,S,10:42:45.98,25
9,S,10:42:45.77,
9,S,10:43:05.06,26
9,S,10:43:05.80,
9,S,10:43:26.07,27
9,S,10:43:26.72,
9,S,10:43:48.91,28
9,S,10:43:49.68,
9,S,10:44:04.14,29
9,S,10:44:04.76,
9,S,10:45:03.99,32
9,S,10:45:22.93,33
9,S,10:45:23.79,
9,S,10:46:03.89,35
9,S,10:46:04.52,
9,S,10:46:25.88,36
9,S,10:46:26.50,
9,S,10:46:45.57,37
9,S,10:46:46.06,
9,S,10:47:07.81,38
9,S,10:47:08.48,
9,S,10:47:25.51,39
9,S,10:47:26.17,
9,S,10:48:04.45,41
9,S,10:48:04.86,
9,S,10:48:26.89,43
9,S,10:48:27.71,
9,S,10:48:44.80,44
9,S,10:48:44.25,
9,S,10:49:05.01,45
9,S,10:49:05.56,
9,S,10:49:31.74,46
9,S,10:49:32.15,
9,S,10:49:46.41,47
9,S,10:49:47.03,
9,S,10:50:06.59,48
9,S,10:50:07.13,
9,S,10:51:07.28,51
9,S,10:51:07.73,
9,S,10:51:32.05,52
9,S,10:51:32.60,
9,S,10:51:40.61,53
9,S,10:51:41.05,
9,S,10:52:04.28,54
9,S,10:52:04.70,
9,S,10:52:24.88,55
9,S,10:52:25.71,
9,S,10:52:44.51,56
9,S,10:52:45.34,
9,S,10:53:15.19,57
9,S,10:53:15.90,
9,S,10:53:35.66,58
9,S,10:53:36.52,
9,S,10:53:51.27,59
9,S,10:53:52.06,
9,S,10:54:26.99,61
9,S,10:54:27.73,
9,S,10:54:41.13,23
9,S,10:54:42.36,
