measurer,type,time,number
8,S,09:57:08.34,
8,S,09:57:19.82,
8,S,10:19:10.69,
8,S,10:20:32.38,
8,S,10:33:57.30,
8,S,10:35:18.71,1
8,S,10:35:19.49,
8,S,10:35:41.91,2
8,S,10:35:42.80,
8,S,10:36:18.61,5
8,S,10:36:19.33,
8,S,10:36:34.92,6
8,S,10:36:35.37,
8,S,10:36:56.79,7
8,S,10:36:57.67,
8,S,10:37:19.06,8
8,S,10:37:19.54,
8,S,10:37:35.85,9
8,S,10:37:36.40,
8,S,10:38:18.06,11
8,S,10:38:18.79,
8,S,10:38:38.57,12
8,S,10:38:39.24,
8,S,10:39:17.91,14
8,S,10:39:38.25,15
8,S,10:39:38.69,
8,S,10:40:01.32,16
8,S,10:40:02.11,
8,S,10:40:16.46,17
8,S,10:40:17.08,
8,S,10:40:35.55,18
8,S,10:40:35.34,
8,S,10:40:51.89,19
8,S,10:40:52.58,
8,S,10:41:40.12,21
8,S,10:41:40.19,
8,S,10:41:56.42,22
8,S,10:41:56.12,
8,S,10:42:30.42,24
8,S,10:42:30.99,
8,S,10:42:57.20,25
8,S,10:42:57.75,
8,S,10:43:16.43,26
8,S,10:43:16.73,
8,S,10:43:38.35,27
8,S,10:43:38.90,
8,S,10:44:00.94,28
8,S,10:44:01.49,
8,S,10:44:16.13,29
8,S,10:44:16.75,
8,S,10:45:16.19,32
8,S,10:45:16.67,
8,S,10:45:37.22,33
8,S,10:45:38.00,
8,S,10:46:19.04,35
8,S,10:46:19.68,
8,S,10:46:38.04,36
8,S,10:46:38.49,
8,S,10:46:58.06,37
8,S,10:46:58.62,
8,S,10:47:19.86,38
8,S,10:47:20.33,
8,S,10:47:37.19,39
8,S,10:47:37.77,
8,S,10:48:16.67,41
8,S,10:48:17.26,
8,S,10:48:41.92,43
8,S,10:48:42.82,
8,S,10:48:52.96,44
8,S,10:48:53.71,
8,S,10:49:16.51,45
8,S,10:49:17.43,
8,S,10:49:43.99,46
8,S,10:49:44.46,
8,S,10:49:58.31,47
8,S,10:49:58.83,
8,S,10:50:19.78,48
8,S,10:50:20.99,
8,S,10:51:18.99,51
8,S,10:51:19.46,
8,S,10:51:45.03,52
8,S,10:51:45.77,
8,S,10:51:52.14,53
8,S,10:51:53.30,
8,S,10:52:16.42,54
8,S,10:52:17.46,
8,S,10:52:36.69,55
8,S,10:52:37.44,
8,S,10:52:57.23,56
8,S,10:52:57.79,
8,S,10:53:28.06,57
8,S,10:53:28.59,
8,S,10:53:48.37,58
8,S,10:53:49.06,
8,S,10:54:03.36,59
8,S,10:54:03.94,
8,S,10:54:38.74,61
8,S,10:54:39.66,
8,S,10:54:52.40,23
8,S,10:54:53.11,
