measurer,type,time,number,,00:00:00.00,00:00:01.00
6,S,09:12:15.00,,,,09:12:15.00
6,T,09:12:27.05,,,,09:12:27.05
6,T,09:12:33.56,,,,09:12:33.56
6,S,09:12:38.11,,,,09:12:38.11
6,S,09:12:38.91,,,,09:12:38.91
6,S,10:06:55.80,,,,10:06:55.80
6,S,10:06:56.20,,,,10:06:56.20
6,S,10:14:25.32,,,,10:14:25.32
6,S,10:16:50.78,1,,,10:16:50.78
6,S,10:16:51.43,,,,10:16:51.43
6,S,10:17:19.20,6,,,10:17:19.20
6,S,10:17:19.92,,,,10:17:19.92
6,S,10:17:45.19,9,,,10:17:45.19
6,S,10:17:45.77,,,,10:17:45.77
6,S,10:18:18.27,5,,,10:18:18.27
6,S,10:18:18.93,,,,10:18:18.93
6,S,10:18:54.46,15,,,10:18:54.46
6,S,10:18:54.91,,,,10:18:54.91
6,S,10:19:21.59,7,,,10:19:21.59
6,S,10:19:21.99,,,,10:19:21.99
6,S,10:20:01.41,11,,,10:20:01.41
6,S,10:20:01.89,,,,10:20:01.89
6,S,10:21:02.73,14,,,10:21:02.73
6,S,10:22:50.64,2,,,10:22:50.64
6,S,10:22:51.41,,,,10:22:51.41
6,S,10:23:21.07,24,,,10:23:21.07
6,S,10:23:21.81,,,,10:23:21.81
6,S,10:24:27.86,22,,,10:24:27.86
6,S,10:24:28.61,,,,10:24:28.61
6,S,10:25:10.57,25,,,10:25:10.57
6,S,10:25:11.22,,,,10:25:11.22
6,S,10:25:43.53,17,,,10:25:43.53
6,S,10:25:43.92,,,,10:25:43.92
6,S,10:26:14.70,19,,,10:26:14.70
6,S,10:26:15.45,,,,10:26:15.45
6,S,10:27:49.65,18,,,10:27:48.65
6,S,10:27:49.11,,NG,NG,10:27:49.11
6,S,10:29:47.88,12,,,10:29:47.88
6,S,10:29:48.68,,,,10:29:48.68
6,S,10:30:12.56,26,,,10:30:12.56
6,S,10:30:13.03,,,,10:30:13.03
6,S,10:31:18.80,29,,,10:31:18.80
6,S,10:31:19.23,,,,10:31:19.23
6,S,10:34:05.60,28,,,10:34:05.60
6,S,10:34:06.22,,,,10:34:06.22
6,S,10:34:35.62,37,,,10:34:35.62
6,S,10:34:36.01,,,,10:34:36.01
6,S,10:35:17.87,33,,,10:35:17.87
6,S,10:35:18.54,,,,10:35:18.54
6,S,10:35:47.79,32,,,10:35:47.79
6,S,10:35:48.38,,,,10:35:48.38
6,S,10:36:32.32,35,,,10:36:32.32
6,S,10:36:34.17,,,,10:36:34.17
