measurer,type,time,number
2,S,08:16:02.20,
2,S,08:16:56.36,
2,T,08:32:34.63,
2,S,09:02:57.11,
2,S,09:02:57.44,
2,S,09:04:57.92,
2,S,09:05:06.90,
2,S,09:10:41.57,
2,S,09:14:30.38,1
2,S,09:14:31.02,
2,S,09:14:51.40,2
2,S,09:14:52.22,
2,S,09:16:47.94,6
2,S,09:16:48.86,
2,S,09:17:06.68,8
2,S,09:17:07.55,
2,S,09:17:25.49,9
2,S,09:17:26.03,
2,S,09:17:43.86,12
2,S,09:17:45.56,
2,S,09:19:00.06,21
2,S,09:19:17.73,
2,S,09:19:20.82,26
2,S,09:19:21.40,
2,S,09:19:38.05,24
2,S,09:20:02.11,5
2,S,09:20:23.86,11
2,S,09:20:24.19,
2,S,09:20:38.05,28
2,S,09:20:39.36,
2,S,09:20:58.28,7
2,S,09:20:59.10,
2,S,09:21:08.01,15
2,S,09:23:32.50,18
2,S,09:23:32.85,
2,S,09:23:56.55,14
2,S,09:24:49.40,25
2,S,09:24:50.75,
2,S,09:25:19.16,17
2,S,09:25:49.97,29
2,S,09:25:50.85,
2,S,09:26:30.76,16
2,S,09:26:31.58,
2,S,09:27:08.79,22
2,S,09:27:10.29,
2,S,09:28:04.44,27
2,S,09:28:04.19,
2,S,09:28:45.96,35
2,S,09:28:47.63,
2,S,09:29:05.26,19
2,S,09:29:05.70,
2,S,09:29:32.56,33
2,S,09:29:33.77,
2,S,09:30:14.52,32
2,S,09:30:15.27,
2,S,09:32:05.87,36
2,S,09:32:07.44,
2,S,09:32:30.63,37
2,S,09:32:31.29,
2,S,09:34:37.56,56
2,S,09:34:38.29,
2,S,09:35:19.84,54
2,S,09:35:20.67,
2,S,09:35:38.45,41
2,S,09:35:39.17,
2,S,09:35:51.70,52
2,S,09:35:53.37,
2,S,09:36:18.99,39
2,S,09:36:21.50,
2,S,09:36:36.45,44
2,S,09:36:36.44,
2,S,09:37:09.91,57
2,S,09:37:10.59,
2,S,09:39:02.41,45
2,S,09:39:03.37,
2,S,09:39:24.22,46
2,S,09:39:24.73,
2,S,09:39:50.30,47
2,S,09:39:50.81,
2,S,09:40:17.70,51
2,S,09:40:18.58,
2,S,09:40:42.93,58
2,S,09:40:44.03,
2,S,09:41:58.70,43
2,S,09:41:59.16,
2,S,09:43:06.86,61
2,S,09:43:07.99,
2,S,09:43:42.09,53
2,S,09:43:42.72,
2,S,09:44:26.39,38
2,S,09:44:26.88,
2,S,09:47:05.74,59
2,S,09:47:07.64,
2,T,09:54:56.74,
