measurer,type,time,number
4,T,08:23:45.81,
4,T,08:23:49.52,
4,T,08:41:16.52,
4,S,08:42:19.16,
4,S,08:42:20.74,
4,S,08:45:12.67,
4,S,08:45:13.04,
4,S,08:53:56.53,1
4,S,08:53:57.09,
4,S,08:54:26.61,2
4,S,08:54:27.18,
4,S,08:56:57.06,8
4,S,08:56:58.16,
4,S,08:59:06.55,14
4,S,08:59:06.88,
4,S,08:59:33.35,15
4,S,08:59:33.73,
4,S,09:00:01.46,17
4,S,09:00:01.84,
4,S,09:00:29.94,11
4,S,09:00:30.40,
4,S,09:00:54.13,19
4,S,09:01:21.42,12
4,S,09:01:44.76,6
4,S,09:00:55.03,
4,S,09:02:14.69,36
4,S,09:02:15.39,
4,S,09:02:36.23,24
4,S,09:02:36.78,
4,S,09:03:01.51,25
4,S,09:03:01.09,
4,S,09:03:34.92,16
4,S,09:03:35.50,
4,S,09:04:02.66,22
4,S,09:04:03.25,
4,S,09:04:25.28,27
4,S,09:04:25.99,
4,S,09:04:49.80,32
4,S,09:05:18.51,5
4,S,09:05:19.14,
4,S,09:05:42.46,26
4,S,09:05:43.22,
4,S,09:06:16.46,18
4,S,09:06:16.86,
4,S,09:06:41.68,37
4,S,09:06:42.45,
4,S,09:07:09.63,9
4,S,09:07:10.21,
4,S,09:07:40.98,21
4,S,09:07:41.47,
4,S,09:08:11.30,29
4,S,09:08:11.63,
4,S,09:09:05.18,38
4,S,09:09:05.69,
4,S,09:09:21.55,28
4,S,09:09:21.91,
4,S,09:09:48.08,35
4,S,09:09:49.44,
4,S,09:10:14.65,44
4,S,09:10:14.57,
4,S,09:11:03.12,7
4,S,09:11:04.18,
4,S,09:11:50.35,54
4,S,09:11:50.95,
4,S,09:12:40.71,56
4,S,09:12:41.50,
4,S,09:13:18.73,33
4,S,09:13:19.52,
4,S,09:13:56.87,58
4,S,09:13:57.92,
4,S,09:16:17.32,39
4,S,09:16:17.90,
4,S,09:16:59.06,55
4,S,09:16:59.50,
4,S,09:17:20.68,52
4,S,09:17:21.66,
4,S,09:17:31.70,41
4,S,09:17:32.99,
4,S,09:17:51.02,51
4,S,09:17:51.66,
4,S,09:18:30.15,45
4,S,09:18:31.22,
4,S,09:19:00.15,46
4,S,09:19:00.55,
4,S,09:19:31.22,57
4,S,09:19:31.99,
4,S,09:19:52.96,43
4,S,09:19:53.56,
4,S,09:20:18.62,47
4,S,09:20:19.11,
4,S,09:20:45.40,48
4,S,09:20:45.87,
4,S,09:21:14.31,61
4,S,09:21:14.92,
4,S,09:21:46.69,59
4,S,09:21:47.30,
4,S,09:23:04.79,53
