measurer,type,time,number
11,S,07:09:03.58,
11,S,07:14:20.18,
11,S,07:16:40.69,1
11,S,07:16:41.50,
11,S,07:16:59.73,2
11,S,07:17:00.71,
11,S,07:17:22.05,5
11,S,07:17:22.70,
11,S,07:18:12.48,6
11,S,07:18:12.92,
11,S,07:18:19.17,7
11,S,07:18:19.59,
11,S,07:18:46.22,8
11,S,07:18:46.95,
11,S,07:19:03.42,9
11,S,07:19:03.94,
11,S,07:19:22.73,11
11,S,07:19:23.38,
11,S,07:19:45.23,12
11,S,07:19:46.35,
11,S,07:20:12.29,14
11,S,07:20:12.60,
11,S,07:20:33.74,15
11,S,07:20:33.46,
11,S,07:21:00.81,16
11,S,07:21:01.65,
11,S,07:21:23.68,17
11,S,07:21:24.67,
11,S,07:21:49.83,18
11,S,07:21:50.51,
11,S,07:22:09.99,19
11,S,07:22:10.74,
11,S,07:22:34.84,21
11,S,07:22:35.58,
11,S,07:23:02.88,22
11,S,07:23:04.16,
11,S,07:23:25.00,24
11,S,07:23:25.61,
11,S,07:23:57.99,25
11,S,07:23:57.65,
11,S,07:25:46.90,29
11,S,07:25:47.32,
11,S,07:26:08.30,32
11,S,07:26:08.68,
11,S,07:26:30.63,33
11,S,07:26:31.18,
11,S,07:26:47.23,35
11,S,07:26:47.87,
11,S,07:27:11.30,36
11,S,07:27:11.89,
11,S,07:27:27.69,28
11,S,07:27:28.60,
11,S,07:27:36.53,37
11,S,07:27:36.87,
11,S,07:27:41.11,27
11,S,07:27:41.86,
11,S,07:27:52.41,26
11,S,07:27:52.85,
11,S,07:28:07.23,38
11,S,07:28:07.70,
11,S,07:28:27.45,39
11,S,07:28:28.10,
11,S,07:28:57.39,41
11,S,07:28:58.05,
11,S,07:29:23.94,43
11,S,07:29:24.40,
11,S,07:29:44.77,44
11,S,07:29:45.05,
11,S,07:30:12.12,45
11,S,07:30:49.41,46
11,S,07:30:49.88,
11,S,07:31:12.98,47
11,S,07:31:13.49,
11,S,07:32:19.13,51
11,S,07:32:19.45,
11,S,07:32:39.03,52
11,S,07:32:39.99,
11,S,07:33:54.98,54
11,S,07:33:55.40,
11,S,07:34:20.24,55
11,S,07:34:21.09,
11,S,07:34:42.02,56
11,S,07:34:42.50,
11,S,07:35:10.59,57
11,S,07:35:11.54,
11,S,07:35:35.63,58
11,S,07:35:36.39,
11,S,07:36:00.60,59
11,S,07:36:01.29,
11,S,07:36:26.31,61
11,S,07:36:27.42,
11,S,07:36:44.65,
11,S,07:36:45.33,
11,S,07:36:59.45,53
11,S,07:37:00.15,
11,S,07:37:04.63,48
11,S,07:37:05.18,
