measurer,type,time,number
3,S,08:15:01.50,
3,S,08:17:10.72,
3,S,08:17:14.04,
3,S,08:39:35.10,
3,S,09:06:23.07,
3,S,09:06:23.48,
3,S,09:09:27.72,
3,S,09:09:28.14,
3,S,09:09:28.59,
3,S,09:11:01.80,
3,S,09:14:42.35,1
3,S,09:14:42.93,
3,S,09:15:03.35,2
3,S,09:15:03.72,
3,S,09:16:59.87,6
3,S,09:17:00.22,
3,S,09:17:18.09,8
3,S,09:17:37.72,9
3,S,09:17:38.06,
3,S,09:17:56.12,12
3,S,09:17:56.46,
3,S,09:19:11.79,21
3,S,09:19:12.16,
3,S,09:19:32.30,26
3,S,09:19:32.64,
3,S,09:19:49.87,24
3,S,09:19:50.17,
3,S,09:20:14.25,5
3,S,09:20:14.64,
3,S,09:20:35.83,11
3,S,09:20:49.72,28
3,S,09:20:50.17,
3,S,09:21:10.33,7
3,S,09:21:23.34,15
3,S,09:23:44.50,18
3,S,09:23:44.88,
3,S,09:24:08.53,14
3,S,09:25:01.44,25
3,S,09:25:31.18,17
3,S,09:26:02.01,29
3,S,09:26:42.86,16
3,S,09:26:43.20,
3,S,09:27:21.21,22
3,S,09:27:21.62,
3,S,09:28:16.46,27
3,S,09:28:16.84,
3,S,09:28:58.74,35
3,S,09:29:17.19,19
3,S,09:29:17.56,
3,S,09:29:43.57,33
3,S,09:30:26.92,32
3,S,09:32:18.43,36
3,S,09:32:42.49,37
3,S,09:32:42.88,
3,S,09:34:50.21,56
3,S,09:34:50.53,
3,S,09:35:31.93,54
3,S,09:35:50.63,41
3,S,09:36:11.93,52
3,S,09:36:12.59,
3,S,09:36:31.92,39
3,S,09:36:48.80,44
3,S,09:37:22.56,57
3,S,09:37:23.20,
3,S,09:39:14.66,45
3,S,09:39:15.38,
3,S,09:39:36.30,46
3,S,09:39:36.80,
3,S,09:40:02.05,47
3,S,09:40:02.40,
3,S,09:40:29.37,51
3,S,09:40:55.88,58
3,S,09:42:11.01,43
3,S,09:43:18.73,61
3,S,09:43:19.25,
3,S,09:43:53.63,53
3,S,09:44:38.36,38
3,S,09:44:38.71,
3,S,09:47:18.35,59
