measurer,type,time,number
2,T,16:25:59.46,
2,T,16:28:46.86,
2,T,16:29:39.69,
2,T,16:30:01.40,
2,T,16:30:08.26,
2,T,16:30:08.60,
2,T,16:30:16.32,
2,T,16:30:16.67,
2,T,16:30:50.51,
2,T,16:30:54.68,
2,T,16:30:55.13,
2,T,16:33:15.47,
2,T,16:51:19.95,
2,S,16:58:15.76,1
2,S,16:58:16.39,
2,S,17:06:40.57,14
2,S,17:06:40.97,
2,S,17:07:04.28,15
2,S,17:09:59.23,5
2,S,17:09:59.78,
2,S,17:10:24.19,9
2,S,17:10:24.72,
2,S,17:10:51.05,29
2,S,17:10:51.60,
2,S,17:11:50.29,16
2,S,17:11:50.97,
2,S,17:12:23.62,11
2,S,17:12:24.03,
2,S,17:13:25.67,2
2,S,17:13:26.37,
2,S,17:14:46.14,22
2,S,17:14:46.89,
2,S,17:15:46.10,35
2,S,17:15:46.72,
2,S,17:16:28.61,25
2,S,17:16:29.26,
2,S,17:17:30.20,17
2,S,17:17:30.63,
2,S,17:18:03.24,18
2,S,17:18:03.71,
2,S,17:18:14.60,24
2,S,17:18:15.15,
2,S,17:20:22.12,37
2,S,17:20:22.62,
2,S,17:21:18.13,7
2,S,17:21:18.46,
2,S,17:21:56.62,39
2,S,17:21:57.04,
2,S,17:22:25.28,27
2,S,17:22:26.37,
2,S,17:23:32.13,45
2,S,17:23:32.81,
2,S,17:24:09.66,46
2,S,17:24:10.07,
2,S,17:24:43.09,56
2,S,17:24:43.55,
2,S,17:25:17.49,36
2,S,17:25:59.99,33
2,S,17:26:01.52,
2,S,17:27:15.89,52
2,S,17:27:45.40,54
2,S,17:27:45.98,
2,S,17:28:24.22,21
2,S,17:28:24.71,
2,S,17:28:42.42,28
2,S,17:28:43.19,
2,S,17:29:14.29,48
2,S,17:29:14.76,
2,S,17:30:40.10,26
2,S,17:30:40.69,
2,S,17:32:14.90,19
2,S,17:32:15.56,
2,S,17:34:27.84,38
2,S,17:34:28.20,
2,S,17:36:35.45,41
2,S,17:36:35.79,
2,S,17:37:16.98,43
2,S,17:37:18.36,
2,S,17:38:08.33,47
2,S,17:38:41.37,6
2,S,17:38:42.04,
2,S,17:39:19.78,55
2,S,17:40:35.25,59
2,S,17:40:35.78,
2,S,17:42:03.68,32
2,S,17:42:04.21,
2,S,17:42:12.01,61
2,S,17:42:12.61,
2,S,17:43:02.52,53
2,S,17:43:40.36,51
2,S,17:44:14.06,44
2,S,17:44:14.43,
2,S,17:45:34.04,12
2,S,17:45:34.79,
2,S,17:47:02.96,
2,S,17:47:45.67,57
2,S,17:54:45.86,58
2,S,17:54:46.22,
