measurer,type,time,number
1,S,08:40:23.35,
1,T,08:41:52.19,
1,S,08:51:59.46,1
1,S,08:52:00.07,
1,S,08:52:29.79,2
1,S,08:52:30.77,
1,S,08:55:01.78,8
1,S,08:55:02.73,
1,S,08:57:09.71,14
1,S,08:57:36.49,15
1,S,08:57:36.91,
1,S,08:58:04.29,17
1,S,08:58:04.63,
1,S,08:58:33.13,11
1,S,08:58:33.74,
1,S,08:58:58.59,19
1,S,08:58:59.12,
1,S,08:59:26.32,12
1,S,08:59:27.74,
1,S,08:59:49.13,6
1,S,08:59:50.10,
1,S,09:00:18.84,36
1,S,09:00:19.16,
1,S,09:00:38.85,24
1,S,09:00:39.94,
1,S,09:01:05.27,25
1,S,09:01:05.66,
1,S,09:01:38.04,16
1,S,09:01:38.74,
1,S,09:02:05.50,22
1,S,09:02:06.01,
1,S,09:02:29.45,27
1,S,09:02:29.12,
1,S,09:02:53.14,32
1,S,09:02:53.45,
1,S,09:03:21.37,5
1,S,09:03:22.03,
1,S,09:03:45.49,26
1,S,09:03:45.85,
1,S,09:04:19.56,18
1,S,09:04:19.88,
1,S,09:04:44.99,37
1,S,09:05:12.27,9
1,S,09:05:44.09,21
1,S,09:06:14.23,29
1,S,09:06:14.70,
1,S,09:07:08.28,38
1,S,09:07:08.71,
1,S,09:07:25.27,28
1,S,09:07:55.15,35
1,S,09:07:56.19,
1,S,09:08:19.47,44
1,S,09:08:19.15,
1,S,09:09:06.33,7
1,S,09:09:06.84,
1,S,09:09:53.52,54
1,S,09:09:54.06,
1,S,09:10:44.21,56
1,S,09:10:44.63,
1,S,09:11:23.17,33
1,S,09:11:23.65,
1,S,09:12:00.55,58
1,S,09:12:01.49,
1,S,09:14:21.98,39
1,S,09:14:22.40,
1,S,09:15:01.33,55
1,S,09:15:02.19,
1,S,09:15:13.96,52
1,S,09:15:36.01,41
1,S,09:15:37.02,
1,S,09:15:55.21,51
1,S,09:15:55.60,
1,S,09:16:34.25,45
1,S,09:16:34.51,
1,S,09:17:03.20,46
1,S,09:17:03.65,
1,S,09:17:31.54,57
1,S,09:17:32.21,
1,S,09:17:55.96,43
1,S,09:17:56.50,
1,S,09:18:21.62,47
1,S,09:18:22.08,
1,S,09:18:49.17,48
1,S,09:18:49.57,
1,S,09:19:17.23,61
1,S,09:19:17.75,
1,S,09:19:49.06,59
1,S,09:19:50.85,
1,S,09:21:08.63,53
1,S,09:21:08.97,
1,S,09:21:27.26,23
1,S,09:21:28.14,
1,T,09:29:27.75,
