measurer,type,time,number
6,T,14:21:23.12,
6,S,14:21:34.90,
6,S,14:21:35.68,
6,S,14:44:35.89,
6,S,14:44:36.43,
6,S,14:45:28.90,
6,S,14:45:29.49,
6,S,14:55:24.99,
6,S,14:55:25.92,
6,S,14:57:47.39,
6,S,14:57:48.05,
6,S,14:59:13.72,1
6,S,14:59:14.38,
6,S,14:59:52.68,2
6,S,14:59:53.46,
6,S,15:06:38.20,16
6,S,15:06:38.90,
6,S,15:07:02.53,6
6,S,15:07:02.97,
6,S,15:07:31.16,9
6,S,15:07:31.54,
6,S,15:07:57.42,8
6,S,15:07:57.76,
6,S,15:09:58.71,19
6,S,15:09:59.15,
6,S,15:10:51.22,17
6,S,15:10:51.56,
6,S,15:11:52.73,22
6,S,15:13:00.39,11
6,S,15:13:00.80,
6,S,15:13:20.15,7
6,S,15:13:20.50,
6,S,15:13:57.40,18
6,S,15:13:58.04,
6,S,15:14:28.22,5
6,S,15:14:28.58,
6,S,15:16:13.22,26
6,S,15:16:13.89,
6,S,15:17:04.67,21
6,S,15:17:05.12,
6,S,15:17:27.31,12
6,S,15:17:27.92,
6,S,15:17:46.75,24
6,S,15:17:47.18,
6,S,15:18:12.24,15
6,S,15:21:28.63,25
6,S,15:21:29.21,
6,S,15:22:42.97,14
6,S,15:22:43.28,
6,S,15:25:46.30,35
6,S,15:25:46.88,
6,S,15:26:14.85,29
6,S,15:26:15.38,
6,S,15:26:48.80,36
6,S,15:26:49.21,
6,S,15:27:48.03,27
6,S,15:27:48.62,
6,S,15:28:31.78,54
6,S,15:28:32.19,
6,T,15:29:24.61,
6,S,15:31:30.87,39
6,S,15:31:31.28,
6,S,15:32:10.51,28
6,S,15:32:11.24,
6,S,15:32:28.67,37
6,S,15:32:28.09,
6,S,15:32:56.54,32
6,S,15:32:56.84,
6,S,15:33:23.57,43
6,S,15:33:23.87,
6,S,15:33:57.03,58
6,S,15:34:21.30,46
6,S,15:34:21.70,
6,S,15:34:41.92,33
6,S,15:34:42.23,
6,S,15:35:07.58,44
6,S,15:35:07.89,
6,S,15:36:25.09,53
6,S,15:36:25.43,
6,S,15:36:46.92,52
6,S,15:36:47.23,
6,S,15:37:10.29,41
6,S,15:37:10.64,
6,S,15:37:43.08,61
6,S,15:37:43.73,
6,S,15:38:26.00,38
6,S,15:38:26.69,
6,S,15:38:43.21,47
6,S,15:38:43.69,
6,S,15:39:10.61,51
6,S,15:39:10.96,
6,S,15:39:41.75,45
6,S,15:39:42.61,
6,S,15:41:06.39,56
6,S,15:41:06.76,
6,S,15:41:51.97,59
6,S,15:41:52.67,
6,S,15:42:20.62,57
6,S,15:42:21.12,
