measurer,type,time,number,,00:00:00.00,00:00:01.00
3,S,09:29:03.46,,,,09:29:03.46
3,S,09:29:04.10,,,,09:29:04.10
3,S,09:55:32.35,,,,09:55:32.35
3,S,09:56:42.87,,,,09:56:42.87
3,S,09:59:51.25,,,,09:59:51.25
3,S,09:59:51.70,,,,09:59:51.70
3,S,10:09:05.06,,,,10:09:05.06
3,S,10:09:07.70,,,,10:09:07.70
3,S,10:09:25.17,,,,10:09:25.17
3,S,10:17:32.02,1,,,10:17:32.02
3,S,10:17:32.42,,,,10:17:32.42
3,S,10:18:00.50,6,,,10:18:00.50
3,S,10:18:26.53,9,,,10:18:26.53
3,S,10:18:59.70,5,,,10:18:59.70
3,S,10:19:35.67,15,,,10:19:35.67
3,S,10:19:36.09,,,,10:19:36.09
3,S,10:20:02.81,7,,,10:20:02.81
3,S,10:20:03.25,,,,10:20:03.25
3,S,10:20:42.30,11,,,10:20:42.30
3,S,10:21:43.73,14,,,10:21:43.73
3,S,10:23:31.92,2,,,10:23:31.92
3,S,10:23:32.22,,,,10:23:32.22
3,S,10:24:02.47,24,,,10:24:02.47
3,S,10:25:08.37,22,,,10:25:08.37
3,S,10:25:51.82,25,,,10:25:51.82
3,S,10:26:24.50,17,,,10:26:24.50
3,S,10:26:57.41,19,,,10:26:57.41
3,S,10:26:57.84,,,,10:26:57.84
3,S,10:28:30.81,18,,,10:28:30.81
3,S,10:30:28.64,12,,,10:30:28.64
3,S,10:30:28.98,,,,10:30:28.98
3,S,10:30:54.38,26,,,10:30:54.38
3,S,10:30:54.72,,,,10:30:54.72
3,S,10:31:59.66,29,,,10:31:59.66
3,S,10:31:59.96,,,,10:31:59.96
3,S,10:34:48.13,28,,,10:34:48.13
3,S,10:35:17.78,37,,,10:35:17.78
3,S,10:35:18.09,,,,10:35:18.09
3,S,10:35:58.35,33,,,10:35:58.35
3,S,10:35:58.73,,,,10:35:58.73
3,S,10:36:29.15,32,,,10:36:29.15
3,S,10:36:29.56,,,,10:36:29.56
3,S,10:37:13.99,35,,,10:37:13.99
3,S,10:37:14.55,,,,10:37:14.55
3,S,10:37:37.83,27,,,10:37:37.83
3,S,10:37:38.32,,,,10:37:38.32
3,S,10:38:44.63,41,,,10:38:44.63
3,S,10:39:38.59,16,,,10:39:38.59
3,S,10:39:38.95,,,,10:39:38.95
3,S,10:40:07.29,39,,,10:40:07.29
3,S,10:40:39.83,51,,,10:40:39.83
3,S,10:41:16.90,38,,,10:41:16.90
3,S,10:41:17.21,,,,10:41:17.21
3,S,10:41:45.50,21,,,10:41:45.50
3,S,10:41:45.82,,,,10:41:45.82
3,S,10:42:12.30,36,,,10:42:12.30
3,S,10:42:41.85,58,,,10:42:41.85
3,S,10:42:42.21,,,,10:42:42.21
3,S,10:43:10.87,54,,,10:43:10.87
3,S,10:43:49.20,46,,,10:43:49.20
3,S,10:44:14.18,44,,,10:44:14.18
3,S,10:44:14.63,,,,10:44:14.63
3,S,10:44:45.35,56,,,10:44:45.35
3,S,10:45:16.35,47,,,10:45:16.35
3,S,10:47:09.52,57,,,10:47:09.52
3,S,10:47:35.64,43,,,10:47:35.64
3,S,10:47:35.96,,,,10:47:35.96
3,S,10:48:08.78,45,,,10:48:08.78
3,S,10:48:09.21,,,,10:48:09.21
3,S,10:49:49.37,55,,,10:49:49.37
3,S,10:52:22.77,52,,,10:52:22.77
3,S,10:52:23.16,,,,10:52:23.16
3,S,10:53:26.23,61,,,10:53:26.23
3,S,10:53:26.69,,,,10:53:26.69
3,S,10:54:15.56,53,,,10:54:15.56
3,S,10:54:53.55,59,,,10:54:53.55
3,S,10:54:53.91,,,,10:54:53.91
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
