measurer,type,time,number
14,S,07:51:06.28,
14,S,07:51:07.27,
14,S,07:54:12.19,
14,S,07:59:22.59,
14,S,07:59:23.10,
14,S,08:12:10.73,
14,S,08:12:12.18,
14,S,08:15:51.95,
14,S,08:15:52.30,
14,S,08:37:11.66,
14,S,08:37:12.03,
14,S,08:44:36.53,1
14,S,08:44:37.19,
14,S,08:45:06.69,2
14,S,08:45:07.16,
14,S,08:47:42.20,8
14,S,08:49:46.53,14
14,S,08:49:47.38,
14,S,08:50:13.77,15
14,S,08:50:41.37,17
14,S,08:51:10.12,11
14,S,08:51:35.94,19
14,S,08:52:03.09,12
14,S,08:52:03.55,
14,S,08:52:26.48,6
14,S,08:52:55.38,36
14,S,08:52:55.73,
14,S,08:53:16.03,24
14,S,08:53:42.13,25
14,S,08:54:15.24,16
14,S,08:54:15.62,
14,S,08:54:41.64,22
14,S,08:54:42.25,
14,S,08:55:05.99,27
14,S,08:55:06.44,
14,S,08:55:30.06,32
14,S,08:55:58.55,5
14,S,08:55:58.89,
14,S,08:56:22.80,26
14,S,08:56:56.57,18
14,S,08:57:21.82,37
14,S,08:57:22.19,
14,S,08:57:46.78,9
14,S,08:57:47.11,
14,S,08:58:21.03,21
14,S,08:58:21.47,
14,S,08:58:51.33,29
14,S,08:58:51.67,
14,S,08:59:45.29,38
14,S,09:00:08.69,28
14,S,09:00:09.26,
14,S,09:00:32.04,35
14,S,09:00:33.24,
14,S,09:00:57.11,44
14,S,09:00:57.55,
14,S,09:01:43.15,7
14,S,09:02:30.68,54
14,S,09:02:30.99,
14,S,09:03:21.54,56
14,S,09:04:00.36,33
14,S,09:04:01.08,
14,S,09:04:36.93,58
14,S,09:04:37.39,
14,S,09:06:59.29,39
14,S,09:07:26.95,55
14,S,09:07:46.84,52
14,S,09:07:47.38,
14,S,09:08:14.30,41
14,S,09:08:14.63,
14,S,09:08:44.07,51
14,S,09:09:12.05,45
14,S,09:09:12.64,
14,S,09:09:40.23,46
14,S,09:09:40.67,
14,S,09:10:09.90,57
14,S,09:10:32.78,43
14,S,09:10:33.10,
14,S,09:10:58.67,47
14,S,09:10:59.03,
14,S,09:11:26.13,48
14,S,09:11:26.56,
14,S,09:11:54.29,61
14,S,09:11:54.63,
14,S,09:12:27.14,59
14,S,09:12:27.70,
14,S,09:13:45.54,53
