measurer,type,time,number,,00:00:00.00,00:00:01.00
7,S,14:07:23.53,,,,14:07:23.53
7,S,14:08:45.89,,,,14:08:45.89
7,S,14:12:41.41,,,,14:12:41.41
7,S,14:29:58.96,,,,14:29:58.96
7,S,14:30:26.71,,,,14:30:26.71
7,S,14:44:58.33,,,,14:44:58.33
7,S,14:44:58.68,,,,14:44:58.68
7,S,14:46:12.39,,,,14:46:12.39
7,S,14:46:16.27,,,,14:46:16.27
7,S,14:59:35.75,1,,,14:59:35.75
7,S,14:59:36.14,,,,14:59:36.14
7,S,15:00:14.85,2,,,15:00:14.85
7,S,15:00:15.25,,,,15:00:15.25
7,S,15:07:00.52,16,,,15:07:00.52
7,S,15:07:00.88,,,,15:07:00.88
7,S,15:07:23.43,6,,,15:07:23.43
7,S,15:07:53.44,9,,,15:07:53.44
7,S,15:07:53.89,,,,15:07:53.89
7,S,15:08:18.96,8,,,15:08:18.96
7,S,15:08:19.39,,,,15:08:19.39
7,S,15:10:20.37,19,,,15:10:20.37
7,S,15:10:20.93,,,,15:10:20.93
7,S,15:11:12.88,17,,,15:11:12.88
7,S,15:11:13.24,,,,15:11:13.24
7,S,15:12:13.76,22,,,15:12:13.76
7,S,15:12:14.12,,,,15:12:14.12
7,S,15:13:22.12,11,,,15:13:22.12
7,S,15:13:22.52,,,,15:13:22.52
7,S,15:13:41.81,7,,,15:13:41.81
7,S,15:13:42.51,,,,15:13:42.51
7,S,15:14:19.38,18,,,15:14:19.38
7,S,15:14:19.74,,,,15:14:19.74
7,S,15:14:50.08,5,,,15:14:50.08
7,S,15:14:50.59,,,,15:14:50.59
7,S,15:16:34.44,26,,,15:16:34.44
7,S,15:16:34.76,,,,15:16:34.76
7,S,15:17:26.61,21,,,15:17:25.61
7,S,15:17:26.14,,NG,NG,15:17:26.14
7,S,15:17:49.65,12,,,15:17:49.65
7,S,15:17:50.20,,,,15:17:50.20
7,S,15:18:08.16,24,,,15:18:08.16
7,S,15:18:08.62,,,,15:18:08.62
7,S,15:18:34.67,15,,,15:18:34.67
7,S,15:21:50.86,25,,,15:21:49.86
7,S,15:21:50.56,,NG,NG,15:21:50.56
7,S,15:23:05.06,14,,,15:23:05.06
7,S,15:26:07.66,35,,,15:26:07.66
7,S,15:26:08.12,,,,15:26:08.12
7,S,15:26:36.81,29,,,15:26:36.81
7,S,15:26:37.16,,,,15:26:37.16
7,S,15:27:12.48,36,,,15:27:11.48
7,S,15:27:12.04,,NG,NG,15:27:12.04
7,S,15:28:10.11,27,,,15:28:10.11
7,S,15:28:10.67,,,,15:28:10.67
7,S,15:28:54.19,54,,,15:28:54.19
7,S,15:28:54.52,,,,15:28:54.52
7,S,15:31:52.85,39,,,15:31:52.85
7,S,15:31:53.28,,,,15:31:53.28
7,S,15:32:30.67,28,,,15:32:30.67
7,S,15:32:51.03,37,,,15:32:51.03
7,S,15:32:51.52,,,,15:32:51.52
7,S,15:33:18.90,32,,,15:33:18.90
7,S,15:33:19.39,,,,15:33:19.39
7,S,15:33:44.21,43,,,15:33:44.21
7,S,15:33:44.94,,,,15:33:44.94
7,S,15:34:18.06,58,,,15:34:18.06
7,S,15:34:43.03,46,,,15:34:43.03
7,S,15:35:04.41,33,,,15:35:04.41
7,S,15:35:04.96,,,,15:35:04.96
7,S,15:35:28.80,44,,,15:35:27.80
7,S,15:35:28.19,,NG,NG,15:35:28.19
7,S,15:36:45.06,53,,,15:36:45.06
7,S,15:37:11.75,52,,,15:37:11.75
7,S,15:37:12.20,,,,15:37:12.20
7,S,15:37:33.46,41,,,15:37:33.46
7,S,15:37:33.76,,,,15:37:33.76
7,S,15:38:05.07,61,,,15:38:05.07
7,S,15:38:05.74,,,,15:38:05.74
7,S,15:38:42.66,38,,,15:38:42.66
7,S,15:39:04.73,47,,,15:39:04.73
7,S,15:39:05.13,,,,15:39:05.13
7,S,15:39:32.45,51,,,15:39:32.45
7,S,15:39:32.86,,,,15:39:32.86
7,S,15:40:03.27,45,,,15:40:03.27
7,S,15:40:03.66,,,,15:40:03.66
7,S,15:41:31.07,56,,,15:41:31.07
7,S,15:41:31.55,,,,15:41:31.55
7,S,15:42:13.80,59,,,15:42:13.80
7,S,15:42:42.58,57,,,15:42:41.58
7,S,15:42:42.01,,NG,NG,15:42:42.01
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
,,,,,,00:00:00.00
