measurer,type,time,number
8,S,11:52:55.71,
8,S,11:52:56.40,
8,S,11:53:19.14,
8,S,11:53:33.24,
8,S,11:53:33.63,
8,S,11:53:47.42,
8,S,11:54:08.07,
8,S,11:54:10.40,
8,S,11:56:49.53,1
8,S,11:56:50.22,
8,S,11:57:08.75,2
8,S,11:57:09.38,
8,S,12:05:17.31,24
8,S,12:05:17.93,
8,S,12:08:11.12,5
8,S,12:08:11.92,
8,S,12:13:21.80,11
8,S,12:13:38.46,6
8,S,12:13:38.83,
8,S,12:14:41.90,29
8,S,12:14:42.32,
8,S,12:15:13.98,16
8,S,12:15:14.76,
8,S,12:16:28.80,14
8,S,12:16:29.18,
8,S,12:16:49.50,12
8,S,12:16:50.60,
8,S,12:17:04.37,26
8,S,12:17:04.85,
8,S,12:17:20.97,15
8,S,12:17:21.28,
8,S,12:17:38.48,22
8,S,12:17:39.31,
8,S,12:18:11.62,18
8,S,12:18:36.46,27
8,S,12:18:36.90,
8,S,12:18:59.02,9
8,S,12:18:59.51,
8,S,12:19:27.01,25
8,S,12:19:27.85,
8,S,12:20:35.67,17
8,S,12:20:35.98,
8,S,12:21:04.72,36
8,S,12:21:05.08,
8,S,12:21:25.09,7
8,S,12:21:40.35,56
8,S,12:21:40.78,
8,S,12:21:54.54,8
8,S,12:21:55.16,
8,S,12:22:12.37,54
8,S,12:22:12.77,
8,S,12:23:43.80,37
8,S,12:23:44.17,
8,S,12:24:01.15,32
8,S,12:24:21.22,19
8,S,12:24:21.76,
8,S,12:26:51.01,21
8,S,12:26:51.54,
8,S,12:27:28.60,35
8,S,12:27:29.18,
8,S,12:27:41.90,28
8,S,12:27:42.26,
8,S,12:29:24.02,52
8,S,12:29:24.62,
8,S,12:33:22.55,41
8,S,12:33:23.16,
8,S,12:33:46.66,51
8,S,12:33:47.21,
8,S,12:34:08.27,33
8,S,12:34:08.62,
8,S,12:36:40.93,39
8,S,12:36:41.31,
8,S,12:38:56.87,45
8,S,12:38:57.58,
8,S,12:39:16.61,46
8,S,12:39:17.10,
8,S,12:39:37.49,47
8,S,12:39:37.83,
8,S,12:39:59.93,59
8,S,12:40:22.47,61
8,S,12:40:23.21,
8,S,12:42:59.90,38
8,S,12:43:00.28,
8,S,12:44:24.40,53
8,S,12:44:50.23,43
8,S,12:44:50.84,
8,S,12:45:57.68,44
8,S,12:45:57.06,
8,S,12:46:24.73,57
